name,row,anio,entidad_universitaria,nivel_invest,hombres,mujeres,personas_nb,total
311 Investigadores-218 - 2019 - CUALTOS,218,2019,CUALTOS,Candidato,3,5,,8
311 Investigadores-219 - 2020 - CUALTOS,219,2020,CUALTOS,Candidato,3,5,,8
311 Investigadores-220 - 2021 - CUALTOS,220,2021,CUALTOS,Candidato,3,5,,8
311 Investigadores-221 - 2022 - CUALTOS,221,2022,CUALTOS,Candidato,3,3,,6
311 Investigadores-222 - 2023 - CUALTOS,222,2023,CUALTOS,Candidato,5,2,,7
311 Investigadores-223 - 2018 - CUALTOS,223,2018,CUALTOS,Nivel I,7,3,,10
311 Investigadores-224 - 2019 - CUALTOS,224,2019,CUALTOS,Nivel I,8,6,,14
311 Investigadores-225 - 2020 - CUALTOS,225,2020,CUALTOS,Nivel I,13,8,,21
311 Investigadores-226 - 2021 - CUALTOS,226,2021,CUALTOS,Nivel I,13,8,,21
311 Investigadores-227 - 2022 - CUALTOS,227,2022,CUALTOS,Nivel I,14,10,,24
311 Investigadores-228 - 2023 - CUALTOS,228,2023,CUALTOS,Nivel I,24,13,,37
311 Investigadores-229 - 2018 - CUALTOS,229,2018,CUALTOS,Nivel II,1,1,,2
311 Investigadores-230 - 2019 - CUALTOS,230,2019,CUALTOS,Nivel II,2,1,,3
311 Investigadores-231 - 2020 - CUALTOS,231,2020,CUALTOS,Nivel II,2,1,,3
311 Investigadores-232 - 2021 - CUALTOS,232,2021,CUALTOS,Nivel II,2,1,,3
311 Investigadores-233 - 2022 - CUALTOS,233,2022,CUALTOS,Nivel II,2,1,,3
311 Investigadores-234 - 2023 - CUALTOS,234,2023,CUALTOS,Nivel II,2,2,,4
311 Investigadores-235 - 2018 - CUALTOS,235,2018,CUALTOS,Nivel III,0,0,,0
311 Investigadores-236 - 2019 - CUALTOS,236,2019,CUALTOS,Nivel III,0,0,,0
311 Investigadores-237 - 2020 - CUALTOS,237,2020,CUALTOS,Nivel III,0,0,,0
311 Investigadores-238 - 2021 - CUALTOS,238,2021,CUALTOS,Nivel III,0,0,,0
311 Investigadores-239 - 2022 - CUALTOS,239,2022,CUALTOS,Nivel III,0,0,,0
311 Investigadores-240 - 2023 - CUALTOS,240,2023,CUALTOS,Nivel III,0,0,,0
311 Investigadores-241 - 2018 - CUALTOS,241,2018,CUALTOS,Emérito,0,0,,0
311 Investigadores-242 - 2019 - CUALTOS,242,2019,CUALTOS,Emérito,0,0,,0
