name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
132 2021-2022 14MMS0698E BGC,132,2021-2022,14MMS0698E,BGC,Escolarizada,32,52,,84,,,,0,,,,0,,,,,,,,,,,,
133 2021-2022 14MMS0624N BGC,133,2021-2022,14MMS0624N,BGC,Escolarizada,50,78,,128,,,,2,,,,0,,,,,,,,,,,,
134 2021-2022 14MMS0624N BGC,134,2021-2022,14MMS0624N,BGC,Escolarizada,47,81,,128,,,,3,,,,0,,,,,,,,,,,,
135 2021-2022 14MMS0683C BGC,135,2021-2022,14MMS0683C,BGC,Escolarizada,24,34,,58,,,,0,,,,0,,,,,,,,,,,,
136 2021-2022 14MMS0683C BGC,136,2021-2022,14MMS0683C,BGC,Escolarizada,30,27,,57,,,,0,,,,0,,,,,,,,,,,,
137 2021-2022 14MMS0682D BGC,137,2021-2022,14MMS0682D,BGC,Escolarizada,18,29,,47,,,,0,,,,0,,,,,,,,,,,,
138 2021-2022 14MMS0682D BGC,138,2021-2022,14MMS0682D,BGC,Escolarizada,14,32,,46,,,,0,,,,0,,,,,,,,,,,,
139 2021-2022 14MMS0738P BGC,139,2021-2022,14MMS0738P,BGC,Escolarizada,12,25,,37,,,,0,,,,0,,,,,,,,,,,,
140 2021-2022 14MMS0625M BGAI,140,2021-2022,14MMS0625M,BGAI,Escolarizada,11,7,,18,,,,0,,,,3,,,,,,,,,,,,
141 2021-2022 14MMS0625M BGC,141,2021-2022,14MMS0625M,BGC,Escolarizada,57,80,,137,,,,4,,,,2,,,,,,,,,,,,
142 2021-2022 14MMS0625M BGC,142,2021-2022,14MMS0625M,BGC,Escolarizada,48,89,,137,,,,1,,,,4,,,,,,,,,,,,
143 2021-2022 14MMS0684B BGC,143,2021-2022,14MMS0684B,BGC,Escolarizada,17,37,,54,,,,0,,,,0,,,,,,,,,,,,
144 2021-2022 14MMS0687Z BGC,144,2021-2022,14MMS0687Z,BGC,Escolarizada,17,31,,48,,,,1,,,,1,,,,,,,,,,,,
145 2021-2022 14MMS0688Y BGC,145,2021-2022,14MMS0688Y,BGC,Escolarizada,25,60,,85,,,,2,,,,2,,,,,,,,,,,,
146 2021-2022 14MMS0652J BGC,146,2021-2022,14MMS0652J,BGC,Escolarizada,54,87,,141,,,,5,,,,0,,,,,,,,,,,,
147 2021-2022 14MMS0652J BGC,147,2021-2022,14MMS0652J,BGC,Escolarizada,47,92,,139,,,,4,,,,0,,,,,,,,,,,,
148 2021-2022 14MMS0726K BGC,148,2021-2022,14MMS0726K,BGC,Escolarizada,21,30,,51,,,,0,,,,0,,,,,,,,,,,,
149 2021-2022 14MMS0642C BGC,149,2021-2022,14MMS0642C,BGC,Escolarizada,59,104,,163,,,,3,,,,0,,,,,,,,,,,,
150 2021-2022 14MMS0642C BGC,150,2021-2022,14MMS0642C,BGC,Escolarizada,59,104,,163,,,,5,,,,0,,,,,,,,,,,,
151 2021-2022 14MMS0661R BGC,151,2021-2022,14MMS0661R,BGC,Escolarizada,30,47,,77,,,,0,,,,0,,,,,,,,,,,,
152 2021-2022 14MMS0641D BGC,152,2021-2022,14MMS0641D,BGC,Escolarizada,35,51,,86,,,,0,,,,0,,,,,,,,,,,,
153 2021-2022 14MMS0641D BGC,153,2021-2022,14MMS0641D,BGC,Escolarizada,31,55,,86,,,,3,,,,0,,,,,,,,,,,,
154 2021-2022 14MMS0760R BGC,154,2021-2022,14MMS0760R,BGC,Escolarizada,13,24,,37,,,,0,,,,0,,,,,,,,,,,,
155 2021-2022 14MMS0637R BGC,155,2021-2022,14MMS0637R,BGC,Escolarizada,70,99,,169,,,,6,,,,1,,,,,,,,,,,,
156 2021-2022 14MMS0637R BGC,156,2021-2022,14MMS0637R,BGC,Escolarizada,60,108,,168,,,,5,,,,0,,,,,,,,,,,,
157 2021-2022 14MMS0671Y BGC,157,2021-2022,14MMS0671Y,BGC,Escolarizada,19,20,,39,,,,1,,,,0,,,,,,,,,,,,
158 2021-2022 14MMS0671Y BGC,158,2021-2022,14MMS0671Y,BGC,Escolarizada,12,27,,39,,,,0,,,,0,,,,,,,,,,,,
159 2021-2022 14MMS0673W BGC,159,2021-2022,14MMS0673W,BGC,Escolarizada,28,32,,60,,,,1,,,,0,,,,,,,,,,,,
160 2021-2022 14MMS0673W BGC,160,2021-2022,14MMS0673W,BGC,Escolarizada,23,37,,60,,,,0,,,,0,,,,,,,,,,,,
161 2021-2022 14MMS0731W BGC,161,2021-2022,14MMS0731W,BGC,Escolarizada,32,37,,69,,,,0,,,,1,,,,,,,,,,,,
162 2021-2022 14MMS0685A BGC,162,2021-2022,14MMS0685A,BGC,Escolarizada,23,40,,63,,,,2,,,,4,,,,,,,,,,,,
163 2021-2022 14MMS0685A BGC,163,2021-2022,14MMS0685A,BGC,Escolarizada,21,41,,62,,,,0,,,,1,,,,,,,,,,,,
164 2021-2022 14MMS0686Z BGC,164,2021-2022,14MMS0686Z,BGC,Escolarizada,19,15,,34,,,,1,,,,12,,,,,,,,,,,,
