name,row,anio,entidad_universitaria,programa_educativo_vigente,total
422 PE que requieren PP-1005 - 2019 - CUCIÉNEGA,1005,2019,CUCIÉNEGA,Licenciatura en Agrobiotecnología,1
422 PE que requieren PP-1006 - 2019 - CUCIÉNEGA,1006,2019,CUCIÉNEGA,Licenciatura en Agronegocios,1
422 PE que requieren PP-1007 - 2019 - CUCIÉNEGA,1007,2019,CUCIÉNEGA,Licenciatura en Contaduría Pública,1
422 PE que requieren PP-1008 - 2019 - CUCIÉNEGA,1008,2019,CUCIÉNEGA,Licenciatura en Mercadotecnia,1
422 PE que requieren PP-1009 - 2019 - CUCIÉNEGA,1009,2019,CUCIÉNEGA,Licenciatura en Negocios Internacionales,1
422 PE que requieren PP-1010 - 2019 - CUCIÉNEGA,1010,2019,CUCIÉNEGA,Licenciatura en Periodismo,1
422 PE que requieren PP-1011 - 2019 - CUCIÉNEGA,1011,2019,CUCIÉNEGA,Licenciatura en Psicología,1
422 PE que requieren PP-1012 - 2019 - CUCIÉNEGA,1012,2019,CUCIÉNEGA,Licenciatura en Químico Farmacéutico Biólogo,1
422 PE que requieren PP-1013 - 2019 - CUCIÉNEGA,1013,2019,CUCIÉNEGA,Licenciatura en Recursos Humanos,1
422 PE que requieren PP-1014 - 2019 - CUCOSTA,1014,2019,CUCOSTA,Abogado,1
422 PE que requieren PP-1015 - 2019 - CUCOSTA,1015,2019,CUCOSTA,Licenciatura en Administración,1
422 PE que requieren PP-1016 - 2019 - CUCOSTA,1016,2019,CUCOSTA,Licenciatura en Arquitectura,1
422 PE que requieren PP-1017 - 2019 - CUCOSTA,1017,2019,CUCOSTA,Licenciatura en Biología,1
422 PE que requieren PP-1018 - 2019 - CUCOSTA,1018,2019,CUCOSTA,Licenciatura en Ciencias y Artes Culinarias,1
422 PE que requieren PP-1019 - 2019 - CUCOSTA,1019,2019,CUCOSTA,Licenciatura en Contaduría Publica,1
422 PE que requieren PP-1020 - 2019 - CUCOSTA,1020,2019,CUCOSTA,Licenciatura en Cultura Física y Deportes1,1
