orden,entidad_universitaria,plantel_adscripcion,clave_plantel,nombre_plantel,nombre_plantel_corto,tipo_plantel,clasificacion_plantel,region_jalisco,municipio,notas
119,SEMS,,14MMS0705Y,Escuela Preparatoria Regional de Jalostotitlán,EPR de Jalostotitlán,Escuela,Regional,Región Altos Sur,Jalostotitlán,
120,SEMS,,14MMS0693J,Escuela Preparatoria Regional de Jamay,EPR de Jamay,Escuela,Regional,Región Ciénega,Jamay,
121,SEMS,,14MMS0653I,Escuela Preparatoria de Jocotepec,EPR de Jocotepec,Escuela,Regional,Región Sureste,Jocotepec,
122,SEMS,14MMS0653I,14MMS0678R,Módulo Concepción de Buenos Aires,Módulo Concepción de Buenos Aires,Módulo,Regional,Región Sureste,Concepción de Buenos Aires,
123,SEMS,14MMS0653I,14MMS0691L,Módulo La Manzanilla de la Paz,Módulo La Manzanilla de la Paz,Módulo,Regional,Región Sureste,La Manzanilla de la Paz,
124,SEMS,14MMS0653I,14MMS0692K,Módulo Tizapán el Alto,Módulo Tizapán el Alto,Módulo,Regional,Región Sureste,Tizapán el Alto,
125,SEMS,,14MMS0635T,Escuela Preparatoria Regional de La Barca,EPR de La Barca,Escuela,Regional,Región Ciénega,La Barca,
126,SEMS,,14MMS0628J,Escuela Preparatoria Regional de Lagos de Moreno,EPR de Lagos de Moreno,Escuela,Regional,Región Altos Norte,Lagos de Moreno,
127,SEMS,14MMS0628J,14MMS0764N,Módulo Encarnación de Díaz,Módulo Encarnación de Díaz,Módulo,Regional,Región Altos Norte,Encarnación de Díaz,
128,SEMS,14MMS0628J,14MMS0697F,Módulo Ojuelos,Módulo Ojuelos,Módulo,Regional,Región Altos Norte,Ojuelos de Jalisco,
129,SEMS,14MMS0628J,14MMS0694I,Módulo San Diego de Alejandría,Módulo San Diego de Alejandría,Módulo,Regional,Región Altos Norte,San Diego de Alejandría,
130,SEMS,14MMS0628J,14MMS0695H,Módulo Unión de San Antonio,Módulo Unión de San Antonio,Módulo,Regional,Región Altos Norte,Unión de San Antonio,
131,SEMS,14MMS0628J,14MMS0696G,Módulo Villa Hidalgo,Módulo Villa Hidalgo,Módulo,Regional,Región Altos Norte,Villa Hidalgo,
132,SEMS,,14MMS0722O,Escuela Preparatoria Regional de Mazamitla,EPR Mazamitla,Escuela,Regional,Región Sureste,Mazamitla,
133,SEMS,,14MMS0634U,Escuela Preparatoria Regional de Puerto Vallarta,EPR de Puerto Vallarta,Escuela,Regional,Región Costa-Sierra Occidental,Puerto Vallarta,
134,SEMS,14MMS0634U,14MMS0700C,Módulo El Tuito,Módulo El Tuito,Módulo,Regional,Región Costa-Sierra Occidental,Cabo Corrientes,
135,SEMS,14MMS0634U,14MMS0701B,Módulo Ixtapa,Módulo Ixtapa,Módulo,Regional,Región Costa-Sierra Occidental,Puerto Vallarta,
136,SEMS,14MMS0634U,14MMS0702A,Módulo Morelos,Módulo Morelos,Módulo,Regional,Región Costa Sur,Tomatlán,
137,SEMS,14MMS0634U,14MMS0703Z,Módulo Pino Suárez,Módulo Pino Suárez,Módulo,Regional,Región Costa Sur,Tomatlán,
138,SEMS,14MMS0634U,14MMS0704Z,Módulo Tomatlán,Módulo Tomatlán,Módulo,Regional,Región Costa Sur,Tomatlán,
139,SEMS,,14MMS0629I,Escuela Preparatoria Regional de San Juan de los Lagos,EPR de San Juan de los Lagos,Escuela,Regional,Región Altos Norte,San Juan de los Lagos,
140,SEMS,14MMS0629I,14MMS0769I,Módulo Teocaltiche,Módulo Teocaltiche,Módulo,Regional,Región Altos Norte,Teocaltiche,
141,SEMS,,14MMS0644A,Escuela Preparatoria Regional de San Martín Hidalgo,EPR de San Martín Hidalgo,Escuela,Regional,Región Lagunas,San Martín Hidalgo,
142,SEMS,14MMS0644A,14MMS0739O,Módulo Buenavista,Módulo Buenavista,Módulo,Regional,Región Lagunas,San Martín Hidalgo,
143,SEMS,,14MMS0706X,Escuela Preparatoria Regional de San Miguel el Alto,EPR de San Miguel el Alto,Escuela,Regional,Región Altos Sur,San Miguel el Alto,
144,SEMS,14MMS0706X,14MMS0714F,Módulo San Julián,Módulo San Julián,Módulo,Regional,Región Altos Sur,San Julián,
145,SEMS,,14MMS0759B,Escuela Preparatoria Regional de Santa Anita,EPR de Santa Anita,Escuela,Metropolitano,Región Centro,San Pedro Tlaquepaque,
146,SEMS,,14MMS0627K,Escuela Preparatoria Regional de Sayula,EPR de Sayula,Escuela,Regional,Región Lagunas,Sayula,
147,SEMS,14MMS0627K,14MMS0754G,Módulo Amacueca,Módulo Amacueca,Módulo,Regional,Región Lagunas,Amacueca,
148,SEMS,14MMS0627K,14MMS0709U,Módulo San Gabriel,Módulo San Gabriel,Módulo,Regional,Región Sur,San Gabriel,
149,SEMS,14MMS0627K,14MMS0710J,Módulo Tapalpa,Módulo Tapalpa,Módulo,Regional,Región Lagunas,Tapalpa,
150,SEMS,14MMS0627K,14MMS0832U,Módulo Usmajac,Módulo Usmajac,Módulo,Regional,Región Lagunas,Sayula,
151,SEMS,,14MMS0655G,Escuela Preparatoria Regional de Tala,EPR de Tala,Escuela,Regional,Región Valles,Tala,
152,SEMS,14MMS0655G,14MMS0771X,Módulo San Isidro Mazatepec,Módulo San Isidro Mazatepec,Módulo,Regional,Región Valles,Tala,
153,SEMS,,14MMS0620R,Escuela Preparatoria Regional de Tamazula de Gordiano “Dr. Roberto Mendiola Orta”,EPR de Tamazula de Gordiano,Escuela,Regional,Región Sur,Tamazula de Gordiano,
