row,clave_programa,programa_educativo,nivel_educativo,campo_clasificacion
372,8052100009,Doctorado en Ciencias en Física,Doctorado,052000
373,8052100019,Doctorado en Ciencias Físico Matemáticas,Doctorado,052000
374,8052200001,Doctorado en Ciencia de Materiales,Doctorado,052000
375,8052200009,Doctorado en Ciencias en Química,Doctorado,052000
376,8052200018,Doctorado en Ciencias en Ingeniería Química,Doctorado,052000
377,8052200023,Doctorado en Ciencia de Biomateriales Sustentables,Doctorado,052000
378,8052300012,Doctorado en Geografía y Ordenación Territorial,Doctorado,052000
379,8052300021,Doctorado En Geologia,Doctorado,052000
380,8053100005,Doctorado en Ciencias en Matemáticas,Doctorado,053000
381,8061100020,Doctorado en Ciencias en Inteligencia Computacional,Doctorado,061000
382,8062200005,Doctorado en Tecnologías de Información,Doctorado,062000
383,8071000002,Doctorado en Ciencia y Tecnología,Doctorado,071000
384,8071000012,Doctorado en Ciencias en Ingeniería,Doctorado,071000
385,8071200008,Doctorado en Agua y Energía,Doctorado,071000
386,8071300016,Doctorado en Ciencias de la Electrónica y la Computación,Doctorado,071000
387,8071400003,Doctorado en Ciencias en Procesos Biotecnológicos,Doctorado,071000
388,8072100013,Doctorado en Ciencias de la Nutrición Traslacional,Doctorado,072000
389,8072300004,Doctorado en Ciencia e Ingeniería de Materiales,Doctorado,072000
