name,row,ciclo,anio,calendario,clave_plantel,cve_programa,aspirantes_h,aspirantes_m,aspirantes_nb,aspirantes_t,admitidos_h,admitidos_m,admitidos_nb,admitidos_t,no_admitidos_h,no_admitidos_m,no_admitidos_nb,no_admitidos_t,por_admision,cupo,puntaje_minimo
13 Admisión 2024A 298 14USU0010H 5033200006,298,2024-2025,2024,B,14USU0010H,5033200006,,,,237,,,,90,,,,147,37.97468354,90,125.3333
13 Admisión 2024A 299 14USU0010H 5012603011,299,2024-2025,2024,B,14USU0010H,5012603011,,,,37,,,,37,,,,0,100,40,87.5067
13 Admisión 2024A 300 14USU0010H 5012603027,300,2024-2025,2024,B,14USU0010H,5012603027,,,,38,,,,38,,,,0,100,46,117.64
13 Admisión 2024A 301 14USU0010H 5021500119,301,2024-2025,2024,B,14USU0010H,5021500119,,,,51,,,,44,,,,7,86.2745098,44,126.0033
13 Admisión 2024A 302 14USU0010H 5031300010,302,2024-2025,2024,B,14USU0010H,5031300010,,,,47,,,,47,,,,0,100,80,82.9167
13 Admisión 2024A 303 14USU0010H 5022600002,303,2024-2025,2024,B,14USU0010H,5022600002,,,,35,,,,35,,,,0,100,60,103.65
13 Admisión 2024A 304 14USU0010H 5052300015,304,2024-2025,2024,B,14USU0010H,5052300015,,,,14,,,,14,,,,0,100,40,104.25
13 Admisión 2024A 305 14USU0010H 5022500008,305,2024-2025,2024,B,14USU0010H,5022500008,,,,48,,,,48,,,,0,100,70,89.5267
13 Admisión 2024A 306 14USU0010H 5022300022,306,2024-2025,2024,B,14USU0010H,5022300022,,,,77,,,,77,,,,0,100,80,100.1667
13 Admisión 2024A 307 14USU0010H 5031300014,307,2024-2025,2024,B,14USU0010H,5031300014,,,,132,,,,80,,,,52,60.60606061,80,132.4167
13 Admisión 2024A 308 14USU0010H 5031200031,308,2024-2025,2024,B,14USU0010H,5031200031,,,,27,,,,27,,,,0,100,80,101.8333
13 Admisión 2024A 309 14USU0010H 5031500010,309,2024-2025,2024,B,14USU0010H,5031500010,,,,157,,,,153,,,,4,97.4522293,153,94.6667
13 Admisión 2024A 310 14USU0010H 5031500010,310,2024-2025,2024,B,14USU0010H,5031500010,,,,18,,,,18,,,,0,100,18,74
13 Admisión 2024A 311 CUTLAQUEPAQUE 5033100003,311,2024-2025,2024,B,CUTLAQUEPAQUE,5033100003,,,,116,,,,80,,,,36,68.96551724,80,114.3767
13 Admisión 2024A 312 14USU0220M 5033100003,312,2024-2025,2024,B,14USU0220M,5033100003,,,,75,,,,44,,,,31,58.66666667,44,133.2033
13 Admisión 2024A 313 14USU0220M 5072100002,313,2024-2025,2024,B,14USU0220M,5072100002,,,,76,,,,44,,,,32,57.89473684,44,128.0733
13 Admisión 2024A 314 14USU0220M 5061000002,314,2024-2025,2024,B,14USU0220M,5061000002,,,,75,,,,44,,,,31,58.66666667,44,137.2967
13 Admisión 2024A 315 14USU0220M 5081100050,315,2024-2025,2024,B,14USU0220M,5081100050,,,,44,,,,44,,,,0,100,44,89.0167
13 Admisión 2024A 316 14USU0220M 5042000002,316,2024-2025,2024,B,14USU0220M,5042000002,,,,68,,,,44,,,,24,64.70588235,44,123.75
13 Admisión 2024A 317 14USU0220M 5093100002,317,2024-2025,2024,B,14USU0220M,5093100002,,,,330,,,,44,,,,286,13.33333333,44,161.8967
13 Admisión 2024A 318 14USU0220M 5041400032,318,2024-2025,2024,B,14USU0220M,5041400032,,,,101,,,,44,,,,57,43.56435644,44,144.5833
13 Admisión 2024A 319 14USU0220M 5092100006,319,2024-2025,2024,B,14USU0220M,5092100006,,,,80,,,,44,,,,36,55,44,129.75
