name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t
588 2020-2021 14MMS0723N BGC,588,2020-2021,14MMS0723N,BGC,Escolarizada,18,10,,28,,,,0,,,,0
589 2020-2021 14MMS0724M BGC,589,2020-2021,14MMS0724M,BGC,Escolarizada,35,57,,92,,,,0,,,,0
590 2020-2021 14MMS0725L BGC,590,2020-2021,14MMS0725L,BGC,Escolarizada,10,20,,30,,,,0,,,,0
591 2020-2021 14MMS0726K BGC,591,2020-2021,14MMS0726K,BGC,Escolarizada,17,19,,36,,,,0,,,,0
592 2020-2021 14MMS0727J BGC,592,2020-2021,14MMS0727J,BGC,Escolarizada,21,34,,55,,,,0,,,,0
593 2020-2021 14MMS0728I BGC,593,2020-2021,14MMS0728I,BGC,Escolarizada,17,19,,36,,,,0,,,,0
594 2020-2021 14MMS0730X BGC,594,2020-2021,14MMS0730X,BGC,Escolarizada,26,14,,40,,,,0,,,,0
595 2020-2021 14MMS0731W BGC,595,2020-2021,14MMS0731W,BGC,Escolarizada,18,11,,29,,,,0,,,,0
596 2020-2021 14MMS0732V BGC,596,2020-2021,14MMS0732V,BGC,Escolarizada,15,24,,39,,,,0,,,,0
597 2020-2021 14MMS0733U BGC,597,2020-2021,14MMS0733U,BGC,Escolarizada,25,10,,35,,,,0,,,,0
598 2020-2021 14MMS0734T BGC,598,2020-2021,14MMS0734T,BGC,Escolarizada,14,8,,22,,,,0,,,,0
599 2020-2021 14MMS0735S BGC,599,2020-2021,14MMS0735S,BGC,Escolarizada,16,17,,33,,,,0,,,,0
600 2020-2021 14MMS0736R BGC,600,2020-2021,14MMS0736R,BGC,Escolarizada,17,13,,30,,,,0,,,,0
601 2020-2021 14MMS0737Q BGC,601,2020-2021,14MMS0737Q,BGC,Escolarizada,13,13,,26,,,,0,,,,0
602 2020-2021 14MMS0757D BGC,602,2020-2021,14MMS0757D,BGC,Escolarizada,288,412,,700,,,,1,,,,1
603 2020-2021 14MMS0758C BGC,603,2020-2021,14MMS0758C,BGC,Escolarizada,23,26,,49,,,,0,,,,0
604 2020-2021 14MMS0760R BGC,604,2020-2021,14MMS0760R,BGC,Escolarizada,11,11,,22,,,,0,,,,0
605 2020-2021 14MMS0763O BGC,605,2020-2021,14MMS0763O,BGC,Escolarizada,10,14,,24,,,,0,,,,0
606 2020-2021 14MMS0738P BGC,606,2020-2021,14MMS0738P,BGC,Escolarizada,9,17,,26,,,,0,,,,3
607 2020-2021 14MMS0748W BGC,607,2020-2021,14MMS0748W,BGC,Escolarizada,26,34,,60,,,,0,,,,0
608 2020-2021 14MMS0718B BGC,608,2020-2021,14MMS0718B,BGC,Escolarizada,62,56,,118,,,,0,,,,0
609 2020-2021 14MMS0722O BGC,609,2020-2021,14MMS0722O,BGC,Escolarizada,54,76,,130,,,,0,,,,0
610 2020-2021 14MMS0669J BGC,610,2020-2021,14MMS0669J,BGC,Escolarizada,33,44,,77,,,,0,,,,0
611 2020-2021 14MMS0645Z BGC,611,2020-2021,14MMS0645Z,BGC,Escolarizada,340,549,,889,,,,0,,,,2
612 2020-2021 14MMS0650L BGAI,612,2020-2021,14MMS0650L,BGAI,Escolarizada,52,37,,89,,,,0,,,,0
613 2020-2021 14MMS0618C BGAI,613,2020-2021,14MMS0618C,BGAI,Escolarizada,13,14,,27,,,,0,,,,0
614 2020-2021 14MMS0622P BGC,614,2020-2021,14MMS0622P,BGC,Escolarizada,56,85,,141,,,,0,,,,0
615 2020-2021 14USU0004X 7031300041,615,2020-2021,14USU0004X,7031300041,No escolarizada,6,10,,16,,,,0,,,,0
