name,row,ciclo,clave_plantel,cve_programa,modalidad,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
48 2019-2020 14USU0005W 5021000114,48,2019-2020,14USU0005W,5021000114,Escolarizada,0,6,,6,,,,0,,,,0
49 2019-2020 14USU0005W 5021200054,49,2019-2020,14USU0005W,5021200054,Escolarizada,4,3,,7,,,,0,,,,0
50 2019-2020 14USU0005W 5021200055,50,2019-2020,14USU0005W,5021200055,Escolarizada,1,4,,5,,,,0,,,,0
51 2019-2020 14USU0005W 5021400012,51,2019-2020,14USU0005W,5021400012,Escolarizada,1,0,,1,,,,0,,,,0
52 2019-2020 14USU0005W 5021700002,52,2019-2020,14USU0005W,5021700002,Escolarizada,4,12,,16,,,,1,,,,0
53 2019-2020 14USU0006V 5021300063,53,2019-2020,14USU0006V,5021300063,Escolarizada,7,1,,8,,,,0,,,,0
54 2019-2020 14USU0002Z 5041100021,54,2019-2020,14USU0002Z,5041100021,Escolarizada,3,1,,4,,,,0,,,,2
55 2019-2020 14USU0002Z 5041400032,55,2019-2020,14USU0002Z,5041400032,Escolarizada,1,4,,5,,,,0,,,,0
56 2019-2020 14USU0002Z 5042000002,56,2019-2020,14USU0002Z,5042000002,Escolarizada,2,4,,6,,,,0,,,,0
57 2019-2020 14USU0002Z 5062100034,57,2019-2020,14USU0002Z,5062100034,Escolarizada,2,0,,2,,,,0,,,,0
58 2019-2020 14USU0002Z 5062200073,58,2019-2020,14USU0002Z,5062200073,Escolarizada,2,0,,2,,,,0,,,,0
59 2019-2020 14USU0002Z 5092100006,59,2019-2020,14USU0002Z,5092100006,Escolarizada,34,121,,155,,,,3,,,,2
60 2019-2020 14USU0002Z 5094200006,60,2019-2020,14USU0002Z,5094200006,Escolarizada,4,9,,13,,,,1,,,,0
61 2019-2020 14USU0002Z 5031100007,61,2019-2020,14USU0002Z,5031100007,Escolarizada,3,12,,15,,,,0,,,,0
62 2019-2020 14USU0002Z 5033100003,62,2019-2020,14USU0002Z,5033100003,Escolarizada,8,5,,13,,,,0,,,,1
63 2019-2020 14USU0003Y 5031100007,63,2019-2020,14USU0003Y,5031100007,Escolarizada,3,9,,12,,,,0,,,,0
64 2019-2020 14USU0003Y 5031500010,64,2019-2020,14USU0003Y,5031500010,Escolarizada,2,26,,28,,,,0,,,,0
65 2019-2020 14USU0003Y 5033100003,65,2019-2020,14USU0003Y,5033100003,Escolarizada,5,5,,10,,,,0,,,,0
66 2019-2020 14USU0003Y 5041100021,66,2019-2020,14USU0003Y,5041100021,Escolarizada,0,2,,2,,,,0,,,,0
67 2019-2020 14USU0160O 5061000002,67,2019-2020,14USU0160O,5061000002,Escolarizada,6,2,,8,,,,0,,,,0
68 2019-2020 14USU0160O 5062200055,68,2019-2020,14USU0160O,5062200055,Escolarizada,4,2,,6,,,,0,,,,0
69 2019-2020 14USU0160O 5071400015,69,2019-2020,14USU0160O,5071400015,Escolarizada,2,6,,8,,,,0,,,,0
70 2019-2020 14USU0160O 5071700019,70,2019-2020,14USU0160O,5071700019,Escolarizada,10,6,,16,,,,0,,,,0
71 2019-2020 14USU0120N 5041100056,71,2019-2020,14USU0120N,5041100056,Escolarizada,33,55,,88,,,,0,,,,0
72 2019-2020 14USU0120N 5041200028,72,2019-2020,14USU0120N,5041200028,Escolarizada,26,43,,69,,,,0,,,,0
73 2019-2020 14USU0120N 5041300007,73,2019-2020,14USU0120N,5041300007,Escolarizada,21,14,,35,,,,0,,,,0
74 2019-2020 14USU0120N 5041400032,74,2019-2020,14USU0120N,5041400032,Escolarizada,77,88,,165,,,,1,,,,1
75 2019-2020 14USU0120N 5042000002,75,2019-2020,14USU0120N,5042000002,Escolarizada,56,70,,126,,,,0,,,,0
76 2019-2020 14USU0120N 5042100117,76,2019-2020,14USU0120N,5042100117,Escolarizada,4,27,,31,,,,1,,,,0
77 2019-2020 14USU0120N 5042300027,77,2019-2020,14USU0120N,5042300027,Escolarizada,10,9,,19,,,,0,,,,0
78 2019-2020 14USU0120N 5051300020,78,2019-2020,14USU0120N,5051300020,Escolarizada,0,3,,3,,,,0,,,,0
79 2019-2020 14USU0120N 5062200082,79,2019-2020,14USU0120N,5062200082,Escolarizada,20,2,,22,,,,0,,,,0
80 2019-2020 14USU0120N 5101600013,80,2019-2020,14USU0120N,5101600013,Escolarizada,10,27,,37,,,,1,,,,0
81 2019-2020 14USU0130U 5041100021,81,2019-2020,14USU0130U,5041100021,Escolarizada,5,3,,8,,,,1,,,,0
82 2019-2020 14USU0130U 5051100003,82,2019-2020,14USU0130U,5051100003,Escolarizada,30,35,,65,,,,0,,,,0
83 2019-2020 14USU0130U 5072100018,83,2019-2020,14USU0130U,5072100018,Escolarizada,1,3,,4,,,,0,,,,0
84 2019-2020 14USU0130U 5081300016,84,2019-2020,14USU0130U,5081300016,Escolarizada,43,6,,49,,,,1,,,,0
85 2019-2020 14USU0130U 5082100001,85,2019-2020,14USU0130U,5082100001,Escolarizada,58,89,,147,,,,1,,,,0
86 2019-2020 14USU0140A 5021500044,86,2019-2020,14USU0140A,5021500044,Escolarizada,10,21,,31,,,,0,,,,0
87 2019-2020 14USU0140A 5021600017,87,2019-2020,14USU0140A,5021600017,Escolarizada,0,10,,10,,,,0,,,,0
88 2019-2020 14USU0140A 5021600024,88,2019-2020,14USU0140A,5021600024,Escolarizada,2,7,,9,,,,0,,,,0
89 2019-2020 14USU0140A 5071100019,89,2019-2020,14USU0140A,5071100019,Escolarizada,7,10,,17,,,,0,,,,0
90 2019-2020 14USU0110G 5072100033,90,2019-2020,14USU0110G,5072100033,Escolarizada,7,15,,22,,,,0,,,,0
91 2019-2020 14USU0110G 5073200005,91,2019-2020,14USU0110G,5073200005,Escolarizada,62,10,,72,,,,2,,,,0
92 2019-2020 14USU0110G 5073200035,92,2019-2020,14USU0110G,5073200035,Escolarizada,8,1,,9,,,,0,,,,0
