name,row,anio,entidad_universitaria,programa_educativo
422 PE que requieren PP-976 - 2021 - CUSUR,976,2021,CUSUR,Licenciatura en Enfermería
422 PE que requieren PP-977 - 2021 - CUSUR,977,2021,CUSUR,Ingeniería en Sistemas Biológicos
422 PE que requieren PP-978 - 2021 - CUSUR,978,2021,CUSUR,Ingeniería en Telemática
422 PE que requieren PP-979 - 2021 - CUSUR,979,2021,CUSUR,Licenciatura en Letras Hispánicas
422 PE que requieren PP-980 - 2021 - CUSUR,980,2021,CUSUR,Licenciatura en Medicina Veterinaria y Zootecnia
422 PE que requieren PP-981 - 2021 - CUSUR,981,2021,CUSUR,Médico Cirujano y Partero
422 PE que requieren PP-982 - 2021 - CUSUR,982,2021,CUSUR,Licenciatura en Negocios Internacionales
422 PE que requieren PP-983 - 2021 - CUSUR,983,2021,CUSUR,Licenciatura en Nutrición
422 PE que requieren PP-984 - 2021 - CUSUR,984,2021,CUSUR,Licenciatura en Periodismo
422 PE que requieren PP-985 - 2021 - CUSUR,985,2021,CUSUR,Licenciatura en Psicología
422 PE que requieren PP-986 - 2021 - CUSUR,986,2021,CUSUR,"Licenciatura en Seguridad Laboral, Protección Civil y Emergencia"
422 PE que requieren PP-987 - 2021 - CUSUR,987,2021,CUSUR,Licenciatura en Trabajo Social
422 PE que requieren PP-988 - 2021 - CUTONALÁ,988,2021,CUTONALÁ,Abogado
422 PE que requieren PP-989 - 2021 - CUTONALÁ,989,2021,CUTONALÁ,Ingeniería en Ciencias Computacionales
422 PE que requieren PP-990 - 2021 - CUTONALÁ,990,2021,CUTONALÁ,Ingeniería en Energía
422 PE que requieren PP-991 - 2021 - CUTONALÁ,991,2021,CUTONALÁ,Ingeniería en Nanotecnología
422 PE que requieren PP-992 - 2021 - CUTONALÁ,992,2021,CUTONALÁ,Licenciatura en Administración de Negocios
422 PE que requieren PP-993 - 2021 - CUTONALÁ,993,2021,CUTONALÁ,Licenciatura en Arquitectura
