name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
551 2022-2023 14USU0150H 5042000002,551,2022-2023,14USU0150H,5042000002,Escolarizada,12,15,,27,,,,0,,,,0,1,5,,6,,,,0,,,,0
554 2022-2023 14USU0160O 5031100007,554,2022-2023,14USU0160O,5031100007,Escolarizada,20,72,,92,,,,3,,,,0,8,56,,64,,,,0,,,,0
557 2022-2023 14USU0160O 5041100056,557,2022-2023,14USU0160O,5041100056,Escolarizada,17,46,,63,,,,1,,,,0,18,33,,51,,,,0,,,,0
567 2022-2023 14USU0160O 5091100011,567,2022-2023,14USU0160O,5091100011,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
571 2022-2023 14USU0170V 5041400032,571,2022-2023,14USU0170V,5041400032,Escolarizada,0,0,,0,,,,0,,,,0,0,1,,1,,,,0,,,,0
583 2022-2023 14USU0190I 5042000002,583,2022-2023,14USU0190I,5042000002,Escolarizada,75,139,,214,,,,5,,,,0,26,44,,70,,,,0,,,,0
592 2022-2023 14USU0190I 5092100006,592,2022-2023,14USU0190I,5092100006,Escolarizada,21,71,,92,,,,4,,,,0,6,35,,41,,,,0,,,,0
599 2022-2023 14USU0200Z 5041100007,599,2022-2023,14USU0200Z,5041100007,Escolarizada,13,16,,29,,,,2,,,,0,8,19,,27,,,,0,,,,0
609 2022-2023 14USU0200Z 5094200006,609,2022-2023,14USU0200Z,5094200006,Escolarizada,11,55,,66,,,,2,,,,1,2,12,,14,,,,0,,,,0
613 2022-2023 14USU0210F 4103100001,613,2022-2023,14USU0210F,4103100001,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
618 2022-2023 14USU0210F 5033100003,618,2022-2023,14USU0210F,5033100003,Escolarizada,24,39,,63,,,,3,,,,1,26,38,,64,,,,0,,,,0
621 2022-2023 14USU0210F 5042200024,621,2022-2023,14USU0210F,5042200024,Escolarizada,6,18,,24,,,,1,,,,0,4,10,,14,,,,0,,,,0
627 2022-2023 14USU0210F 5091100011,627,2022-2023,14USU0210F,5091100011,Escolarizada,38,63,,101,,,,4,,,,0,81,91,,172,,,,1,,,,0
637 2022-2023 14USU0220M 5041400032,637,2022-2023,14USU0220M,5041400032,Escolarizada,43,74,,117,,,,1,,,,0,32,42,,74,,,,0,,,,0
644 2022-2023 14USU0220M 5091100011,644,2022-2023,14USU0220M,5091100011,Escolarizada,45,63,,108,,,,2,,,,0,44,52,,96,,,,0,,,,0
648 2022-2023 14USU0220M 5095400006,648,2022-2023,14USU0220M,5095400006,Escolarizada,0,0,,0,,,,0,,,,0,0,0,,0,,,,0,,,,0
651 2022-2023 14USU0221L 5033100003,651,2022-2023,14USU0221L,5033100003,Escolarizada,9,19,,28,,,,1,,,,0,13,28,,41,,,,0,,,,0
654 2022-2023 14USU0221L 5042400005,654,2022-2023,14USU0221L,5042400005,Escolarizada,15,31,,46,,,,1,,,,0,8,16,,24,,,,0,,,,0
