row,name,nombre_prueba,plantel_adscripcion,clave_plantel,termino padre
2918,2918 Escuela Preparatoria Regional de Chapala,Escuela Preparatoria Regional de Chapala,,14USU02754,
2919,2919 Módulo Ixtlahuacán de los Membrillos,Módulo Ixtlahuacán de los Membrillos,,14USU02755,
2920,2920 Módulo Mezcala de la Asunción,Módulo Mezcala de la Asunción,,14USU02756,
2921,2921 Escuela Preparatoria Regional de Cihuatlán,Escuela Preparatoria Regional de Cihuatlán,,14USU02757,
2922,2922 Módulo Miguel Hidalgo,Módulo Miguel Hidalgo,,14USU02758,
2923,2923 Módulo San Patricio Melaque,Módulo San Patricio Melaque,,14USU02759,
2924,2924 Escuela Preparatoria Regional de Ciudad Guzmán,Escuela Preparatoria Regional de Ciudad Guzmán,,14USU02760,
2925,2925 Módulo Copala,Módulo Copala,,14USU02761,
2926,2926 Módulo Tolimán,Módulo Tolimán,,14USU02762,
2927,2927 Módulo Zapotitlán de Vadillo,Módulo Zapotitlán de Vadillo,,14USU02763,
2928,2928 Escuela Preparatoria Regional de Cocula,Escuela Preparatoria Regional de Cocula,,14USU02764,
2929,2929 Escuela Preparatoria Regional de Colotlán,Escuela Preparatoria Regional de Colotlán,,14USU02765,
2930,2930 Módulo Bolaños,Módulo Bolaños,,14USU02766,
2931,2931 Módulo Huejúcar,Módulo Huejúcar,,14USU02767,
2932,2932 Módulo San Martín de Bolaños,Módulo San Martín de Bolaños,,14USU02768,
2933,2933 Módulo Villa Guerrero,Módulo Villa Guerrero,,14USU02769,
2934,2934 Escuela Preparatoria Regional de Degollado,Escuela Preparatoria Regional de Degollado,,14USU02770,
2935,2935 Escuela Preparatoria Regional de El Grullo,Escuela Preparatoria Regional de El Grullo,,14USU02771,
2936,2936 Módulo El Chante,Módulo El Chante,,14USU02772,
2937,2937 Módulo El Limón,Módulo El Limón,,14USU02773,
2938,2938 Módulo Tonaya,Módulo Tonaya,,14USU02774,
2939,2939 Módulo Tuxcacuesco,Módulo Tuxcacuesco,,14USU02775,
2940,2940 Escuela Preparatoria Regional de El Salto,Escuela Preparatoria Regional de El Salto,,14USU02776,
2941,2941 Módulo Juanacatlán,Módulo Juanacatlán,,14USU02777,
2942,2942 Escuela Preparatoria Regional de Etzatlán,Escuela Preparatoria Regional de Etzatlán,,14USU02778,
2943,2943 Módulo Oconahua,Módulo Oconahua,,14USU02779,
2944,2944 Módulo San Marcos,Módulo San Marcos,,14USU02780,
2945,2945 Escuela Preparatoria Regional de Huejuquilla el Alto,Escuela Preparatoria Regional de Huejuquilla el Alto,,14USU02781,
2946,2946 Módulo Mezquitic,Módulo Mezquitic,,14USU02782,
2947,2947 Escuela Preparatoria Regional de Jalostotitlán,Escuela Preparatoria Regional de Jalostotitlán,,14USU02783,
2948,2948 Escuela Preparatoria Regional de Jamay,Escuela Preparatoria Regional de Jamay,,14USU02784,
2949,2949 Escuela Preparatoria Regional de Jocotepec,Escuela Preparatoria Regional de Jocotepec,,14USU02785,
2950,2950 Módulo Concepción de Buenos Aires,Módulo Concepción de Buenos Aires,,14USU02786,
2951,2951 Módulo La Manzanilla de la Paz,Módulo La Manzanilla de la Paz,,14USU02787,
2952,2952 Módulo Tizapán el Alto,Módulo Tizapán el Alto,,14USU02788,
2953,2953 Escuela Preparatoria Regional de La Barca,Escuela Preparatoria Regional de La Barca,,14USU02789,
2954,2954 Escuela Preparatoria Regional de Lagos de Moreno,Escuela Preparatoria Regional de Lagos de Moreno,,14USU02790,
2955,2955 Módulo Encarnación de Díaz,Módulo Encarnación de Díaz,,14USU02791,
2956,2956 Módulo Ojuelos,Módulo Ojuelos,,14USU02792,
2957,2957 Módulo San Diego de Alejandría,Módulo San Diego de Alejandría,,14USU02793,
2958,2958 Módulo Unión de San Antonio,Módulo Unión de San Antonio,,14USU02794,
2959,2959 Módulo Villa Hidalgo,Módulo Villa Hidalgo,,14USU02795,
2960,2960 Escuela Preparatoria Regional de Puerto Vallarta,Escuela Preparatoria Regional de Puerto Vallarta,,14USU02796,
2961,2961 Módulo El Tuito,Módulo El Tuito,,14USU02797,
2962,2962 Módulo Ixtapa,Módulo Ixtapa,,14USU02798,
2963,2963 Módulo José María Morelos,Módulo José María Morelos,,14USU02799,
